ndims,kappa,trial,objval,runtime
20,1,0,-9.73823121986354,0.3716311454772949
20,1,1,-9.490020721171046,0.12195897102355957
20,1,2,-11.031296746403287,0.11686301231384277
20,1,3,-11.785411508961637,0.1145927906036377
20,1,4,-7.33546868836934,0.16651296615600586
20,1,5,-9.283184013708755,0.15832090377807617
20,1,6,-9.219418291075234,0.3007028102874756
20,1,7,-15.265857978213008,0.0595850944519043
20,1,8,-9.55628344196719,0.09896206855773926
20,1,9,-9.121947338539954,0.14124798774719238
20,10,0,-441.34922819389783,0.12746787071228027
20,10,1,-247.88725629156906,0.08163690567016602
20,10,2,-221.71429689800115,0.2965071201324463
20,10,3,-292.748568712182,0.08964204788208008
20,10,4,-365.72695215074384,0.07198810577392578
20,10,5,-390.6198961260796,0.04676413536071777
20,10,6,-288.7905379291619,0.10730409622192383
20,10,7,-439.02967705802575,0.06447386741638184
20,10,8,-452.05710665732414,0.1729719638824463
20,10,9,-362.3384328521167,0.18001317977905273
20,100,0,-31739.118003225896,0.06475281715393066
20,100,1,-34113.81723047004,0.09370112419128418
20,100,2,-29362.63175711128,0.11054801940917969
20,100,3,-25644.10327133567,0.05730581283569336
20,100,4,-27609.595327646588,0.09263205528259277
20,100,5,-33365.861592446774,0.06563282012939453
20,100,6,-46447.508690284936,0.16762900352478027
20,100,7,-34019.46314943417,0.07697296142578125
20,100,8,-41447.17512784944,0.05734419822692871
20,100,9,-25978.074299067666,0.16490721702575684
20,1000,0,-3174880.1682171104,0.11890006065368652
20,1000,1,-4149885.745777948,0.07857012748718262
20,1000,2,-3315397.7273781444,0.18822002410888672
20,1000,3,-3906149.801151683,0.05305314064025879
20,1000,4,-4561265.155277303,0.042511940002441406
20,1000,5,-1834393.3491950268,0.3520228862762451
20,1000,6,-4698092.259552008,0.06434512138366699
20,1000,7,-2558000.849446537,0.212799072265625
20,1000,8,-4676315.845540949,0.03709697723388672
20,1000,9,-2781756.458428263,0.3427121639251709
30,1,0,-16.310226327449623,0.7879481315612793
30,1,1,-15.52361473920752,0.7974729537963867
30,1,2,-16.96905359798891,0.6717369556427002
30,1,3,-14.48321861541848,1.7731800079345703
30,1,4,-14.829594555556955,1.396195888519287
30,1,5,-19.2205015803606,0.5695610046386719
30,1,6,-14.486283222675072,0.8335831165313721
30,1,7,-15.737303572250562,0.535844087600708
30,1,8,-15.02834295432097,0.8494307994842529
30,1,9,-11.308370337685156,1.8368220329284668
30,10,0,-396.04965521479505,0.672191858291626
30,10,1,-483.41590064914476,0.5276548862457275
30,10,2,-761.7670796011871,0.2566208839416504
30,10,3,-540.7331693809514,0.4379448890686035
30,10,4,-569.1030245386004,0.46928906440734863
30,10,5,-428.8760545154317,0.40898609161376953
30,10,6,-731.5290089534799,0.3160560131072998
30,10,7,-638.4901179429683,0.3798220157623291
30,10,8,-305.17504287296236,1.0191278457641602
30,10,9,-636.6787633549286,0.4228360652923584
30,100,0,-52118.27218106382,0.3461461067199707
30,100,1,-62335.8357440336,0.2016468048095703
30,100,2,-49888.15490459956,0.6529860496520996
30,100,3,-52307.9901345828,0.3231770992279053
30,100,4,-37389.37800672991,0.4093489646911621
30,100,5,-33641.63658682814,0.42734813690185547
30,100,6,-55995.076720397665,0.380155086517334
30,100,7,-69751.77336309856,0.2428419589996338
30,100,8,-30885.16984559703,0.578300952911377
30,100,9,-45202.32373530262,0.38433003425598145
30,1000,0,-4047593.749541369,0.3430159091949463
30,1000,1,-3749098.7970975447,0.3384099006652832
30,1000,2,-5371107.342193363,0.34265995025634766
30,1000,3,-6038878.871654363,0.6692991256713867
30,1000,4,-4353141.40986617,0.5612261295318604
30,1000,5,-4254940.248140681,0.38062191009521484
30,1000,6,-3755349.5447595115,1.2840619087219238
30,1000,7,-3146018.3827069146,0.36907315254211426
30,1000,8,-3997283.561100507,0.4551658630371094
30,1000,9,-5542837.801510203,0.383159875869751
40,1,0,-16.04844814687764,6.996293067932129
40,1,1,-23.166477071955907,4.897655010223389
40,1,2,-18.990502660349076,6.75820779800415
40,1,3,-22.32058715646387,5.080693006515503
40,1,4,-21.214149015375042,4.954230070114136
40,1,5,-19.570269578331928,5.277789831161499
40,1,6,-25.404253920956513,3.851702928543091
40,1,7,-16.240557517440656,6.011261940002441
40,1,8,-24.15966862352417,4.946714878082275
40,1,9,-22.35142535204869,4.9425880908966064
40,10,0,-631.1788514998595,2.2150020599365234
40,10,1,-540.0549110966226,4.01061487197876
40,10,2,-649.9279083576778,3.4108059406280518
40,10,3,-858.7924721723028,1.3924338817596436
40,10,4,-874.7170415314135,1.2312419414520264
40,10,5,-762.8348260041016,1.9951069355010986
40,10,6,-964.5541911070487,1.2112538814544678
40,10,7,-534.7951370054079,5.793726921081543
40,10,8,-721.7482936733378,1.6529181003570557
40,10,9,-983.4327849331846,0.9290180206298828
40,100,0,-76455.1083228316,1.5223281383514404
40,100,1,-62566.69243476887,0.9736099243164062
40,100,2,-63224.12999188108,1.3010399341583252
40,100,3,-72886.67812372872,2.07726788520813
40,100,4,-53632.95695174889,1.8524839878082275
40,100,5,-58035.94743080412,1.5847890377044678
40,100,6,-77261.44525542708,0.9589910507202148
40,100,7,-65958.70288907869,1.811249017715454
40,100,8,-51034.48971939726,2.3454201221466064
40,100,9,-57312.81225424239,1.6235120296478271
40,1000,0,-6812930.881951194,1.3275699615478516
40,1000,1,-7685809.663348672,1.1440951824188232
40,1000,2,-4456180.963167105,2.858492851257324
40,1000,3,-6483001.644948839,2.816599130630493
40,1000,4,-6861626.74678791,1.1126558780670166
40,1000,5,-7178067.880141769,1.531379222869873
40,1000,6,-6978998.298265944,2.2394521236419678
40,1000,7,-5895786.853328412,3.7258641719818115
40,1000,8,-5425690.615178544,1.4985389709472656
40,1000,9,-6342129.435457895,2.2937209606170654
50,1,0,-21.067130816698505,49.6590850353241
50,1,1,-28.995350339974657,24.710280179977417
50,1,2,-24.59026977781544,24.58290696144104
50,1,3,-31.600209326363043,14.53939700126648
50,1,4,-28.250540689495825,18.611284017562866
50,1,5,-26.41360314336214,21.84227705001831
50,1,6,-28.102027484005944,16.771250009536743
50,1,7,-26.84475245291135,19.23729419708252
50,1,8,-28.173835123783576,23.49357509613037
50,1,9,-28.70346125526775,19.87396788597107
50,10,0,-765.291713673202,13.940431118011475
50,10,1,-647.4664280004166,22.364797115325928
50,10,2,-1258.9630393508662,4.204240083694458
50,10,3,-1013.8668785746619,11.606559038162231
50,10,4,-769.5312043215764,14.223719120025635
50,10,5,-764.5495468736904,12.892564058303833
50,10,6,-1038.892986994501,11.299930095672607
50,10,7,-897.0827096277138,12.627837896347046
50,10,8,-823.1782170434293,11.758249044418335
50,10,9,-783.1796166876551,16.79075813293457
50,100,0,-71250.30330292112,9.139678955078125
50,100,1,-57481.876219251964,11.974903106689453
50,100,2,-98154.2673074686,10.42458200454712
50,100,3,-108546.20653443554,2.4880828857421875
50,100,4,-65830.80460005403,11.366729974746704
50,100,5,-54662.96367317902,13.622041940689087
50,100,6,-101989.31725364675,4.482740879058838
50,100,7,-98630.6060202308,8.444568872451782
50,100,8,-80393.15969665453,8.89209794998169
50,100,9,-75838.78539347278,9.71449613571167
50,1000,0,-8438565.649743931,9.421398878097534
50,1000,1,-8875416.950248405,6.317441940307617
50,1000,2,-8279253.425491556,10.727782011032104
50,1000,3,-7353807.355981489,10.81258511543274
50,1000,4,-7525963.631132953,21.037537097930908
50,1000,5,-5004402.680871388,18.351705074310303
50,1000,6,-6302743.613329243,19.726195096969604
50,1000,7,-7629644.592341213,11.064910888671875
50,1000,8,-6580967.0405688,17.465838193893433
50,1000,9,-7485788.774395892,8.7789888381958
60,1,0,-30.238495957812596,238.4149661064148
60,1,1,-42.62678587387597,55.94010305404663
60,1,2,-24.96566371992619,599.294585943222
60,1,3,-25.960451497851285,724.5722858905792
60,1,4,-27.070520987820743,768.1138060092926
60,1,5,-29.02713184457438,764.0755319595337
60,1,6,-25.546277310061225,525.2244400978088
60,1,7,-35.06157346439782,409.98174381256104
60,1,8,-33.73788046575227,149.90607500076294
60,1,9,-27.099055396279073,535.4510340690613
60,10,0,-1163.2396197841347,39.5082368850708
60,10,1,-835.1620436261547,41.79427099227905
60,10,2,-1101.6666589682957,38.472360134124756
60,10,3,-1390.7492298436762,33.27430701255798
60,10,4,-1259.5435622141597,31.83490300178528
60,10,5,-1258.7251505897557,30.88518786430359
60,10,6,-1010.6878477697985,58.1257050037384
60,10,7,-1278.66029618935,468.06361293792725
60,10,8,-1033.3558548473493,48.62086582183838
60,10,9,-1110.7827558982099,42.38716387748718
60,100,0,-91601.66208096004,42.959036111831665
60,100,1,-74134.13150609024,44.88261389732361
60,100,2,-109258.97058756955,29.739727020263672
60,100,3,-75591.83337443648,46.5590500831604
60,100,4,-92235.03267986389,31.648488998413086
60,100,5,-76453.25261111787,31.493735790252686
60,100,6,-114237.9470938995,19.55808186531067
60,100,7,-101416.4689757015,43.37775707244873
60,100,8,-99604.94972478614,28.736751079559326
60,100,9,-109754.3708490875,23.418921947479248
60,1000,0,-9440815.176472537,66.03207302093506
60,1000,1,-8735626.35592768,40.312098026275635
60,1000,2,-12847806.047740737,30.433181047439575
60,1000,3,-9960538.914615912,30.500927925109863
60,1000,4,-10709094.321149183,23.540103912353516
60,1000,5,-8986612.10049833,50.36058712005615
60,1000,6,-10910515.375017947,28.231445789337158
60,1000,7,-9080021.543026326,40.94441485404968
60,1000,8,-8992618.276026974,53.01574516296387
60,1000,9,-11447638.607576624,44.238450050354004
70,1,0,-40.51844034956861,1622.2918448448181
70,1,1,-35.821806943789554,1636.615799188614
70,1,2,-34.48197035111413,2314.2398660182953
70,1,3,-33.348619490064756,2001.963721036911
70,1,4,-36.559087483055166,1764.5936760902405
70,1,5,-35.887226565745536,1867.185614824295
70,1,6,-36.14037885119113,2066.504252910614
70,1,7,-42.6483770647166,1532.0437850952148
